RDO:;NO. 15 ILAGAN, ISABELA;;;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;NAMNAMA;;;;
ALL LOTS;;RR;125.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;NUEVA ERA;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;PARAISO;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;RANG-AY;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;SAMPALOC;;;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;SAN ANDRES;;;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;PROVINCIAL ROAD;I;1,500.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;SARANAY;;;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;INTERIOR;RR;125.00;;
ALL LOTS;INTERIOR;A1;15.00;;
ALL LOTS;INTERIOR;A2;10.00;;
CITY/MUNICIPALITY:;CABATUAN;;;;
BARANGAY:;TANDUL;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;ALICAOCAO;;;;
ALL LOTS;NATIONAL ROAD;CR;1,800.00;;
ALL LOTS;BARANGAY ROAD;RR;340.00;;
ALL LOTS;INTERIOR LOTS;CR;1,500.00;;
ALL LOTS;INTERIOR LOTS;RR;275.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;ALINAM;;;;
ALL LOTS;NATIONAL ROAD;RR;340.00;;
ALL LOTS;NATIONAL ROAD;A1;15.00;;
ALL LOTS;NATIONAL ROAD;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;AMMOBOCAN;;;;
ALL LOTS;BARANGAY ROAD;RR;75.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:  ANDARAYAN;;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;BACULOD;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;BARINGIN NORTE;;;;
ALL LOTS;PROVINCIAL ROAD;CR;1,500.00;;
ALL LOTS;INTERIOR LOTS;CR;900.00;;
ALL LOTS;INTERIOR LOTS;X;70.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;BARINGIN SUR;;;;
ALL LOTS;PROVINCIAL ROAD;CR;2,000.00;;
ALL LOTS;PROVINCIAL ROAD;X;70.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;BUENA SUERTE;;;;
ALL LOTS;PROVINCIAL ROAD;RR;340.00;;
ALL LOTS;INTERIOR LOTS;RR;200.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;BUGALLION;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;BUYON;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CABARUAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;2,500.00;;
ALL LOTS;INTERIOR LOTS;CR;1,200.00;;
ALL LOTS;INTERIOR LOTS;X;70.00;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CABUGAO;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CAPPAL;;;;
ALL LOTS;BARANGAY ROAD;RR;400.00;;
ALL LOTS;INTERIOR LOTS;RR;300.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CAR. BACARENO;;;;
ALL LOTS;BARANGAY ROAD;RR;250.00;;
ALL LOTS;INTERIOR LOTS;RR;200.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CAR. CHICO;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CAR. GRANDE;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CAR. PUNTA;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CASALATAN;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;210.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CASSAP;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CATALINA;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CULALABAT;;;;
ALL LOTS;PROVINCIAL ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DABBURAB;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DE VERA;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DIANAO;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DISIMURAY;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DISTRICT I;;;;
ALL LOTS;NATIONAL ROAD;CR;5,000.00;;
ALL LOTS;NATIONAL ROAD;RR;1,500.00;;
ALL LOTS;INTERIOR LOTS;CR;1,600.00;;
ALL LOTS;INTERIOR LOTS;RR;300.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DISTRICT II;;;;
ALL LOTS;PROVINCIAL ROAD;CR;5,000.00;;
ALL LOTS;PROVINCIAL ROAD;RR;2,000.00;;
ALL LOTS;INTERIOR LOTS;CR;1,500.00;;
ALL LOTS;INTERIOR LOTS;RR;400.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DISTRICT III;;;;
ALL LOTS;PROVINCIAL ROAD;CR;5,000.00;;
ALL LOTS;PROVINCIAL ROAD;RR;1,500.00;;
ALL LOTS;INTERIOR LOTS;RR;500.00;;
ALL LOTS;INTERIOR LOTS;X;140.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;DUMINIT;;;;
ALL LOTS;BARANGAY ROAD;CR;1,000.00;;
ALL LOTS;INTERIOR LOTS;CR;500.00;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;FUERA;;;;
ALL LOTS;BARANGAY ROAD;RR;260.00;;
ALL LOTS;INTERIOR LOTS;RR;200.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;GAGABUTAN;;;;
ALL LOTS;BARANGAY ROAD;CR;1,200.00;;
ALL LOTS;INTERIOR LOTS;CR;900.00;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;200.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
ALL LOTS;INTERIOR LOTS;X;55.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;GUYABAL;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;210.00;;
ALL LOTS;INTERIOR LOTS;X;60.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;LARINAB;;;;
ALL LOTS;BARANGAY ROAD;CR;1,500.00;;
ALL LOTS;INTERIOR LOTS;CR;900.00;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;X;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;LINGLINGAY;;;;
LINGLINGAY;BARANGAY ROAD;RR;300.00;;
LINGLINGAY;INTERIOR LOTS;RR;220.00;;
LINGLINGAY;INTERIOR LOTS;A1;15.00;;
LINGLINGAY;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MABANTAD;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MALIGAYA;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MANAOAG;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MARABULIG I;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;7.50;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MARABULIG II;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;BARANGAY ROAD;A1;20.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MINANTE I;;;;
ALL LOTS;NATIONAL ROAD;RR;400.00;;
ALL LOTS;NATIONAL ROAD;A1;20.00;;
ALL LOTS;NATIONAL ROAD;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;MINANTE II;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;BARANGAY ROAD;RR;400.00;;
ALL LOTS;BARANGAY ROAD;A1;20.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;NAGANACAN;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;240.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;NAGCAMPEGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;240.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;NAGRUMBUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;NUNGNUNGAN I;;;;
ALL LOTS;BARANGAY ROAD;RR;400.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;NUNGNUNGAN II;;;;
ALL LOTS;NATIONAL ROAD;CR;1,800.00;;
ALL LOTS;BARANGAY ROAD;RR;400.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;A1;18.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;PINOMA;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;19.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;RIZAL;;;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;ROGUS;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;18.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;INTERIOR LOTS;RR;275.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN FAUSTINO;;;;
ALL LOTS;BARANGAY ROAD;RR;325.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN FERMIN;;;;
ALL LOTS;NATIONAL ROAD;CR;7,500.00;;
ALL LOTS;INTERIOR LOTS;CR;2,500.00;;
ALL LOTS;PROVINCIAL ROAD;X;500.00;;
ALL LOTS;BARANGAY ROAD;RR;650.00;;
ALL LOTS;INTERIOR LOTS;RR;650.00;;
ALL LOTS;INTERIOR LOTS;A1;20.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN FRANCISCO;;;;
ALL LOTS;BARANGAY ROAD;RR;330.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN ISIDRO;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;17.50;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN LUIS;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;PROVINCIAL ROAD;A1;16.00;;
ALL LOTS;PROVINCIAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SAN PABLO;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SILLAWIT;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR LOTS;RR;300.00;;
ALL LOTS;INTERIOR LOTS;A1;19.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SINIPPIL;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR LOTS;RR;220.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SANTA LUCIANA;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;PROVINCIAL RD-INTERIOR;RR;220.00;;
ALL LOTS;PROVINCIAL RD-INTERIOR;A1;15.00;;
ALL LOTS;PROVINCIAL RD-INTERIOR;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;SANTA MARIA;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;TAGARAN;;;;
ALL LOTS;NATIONAL ROAD;RR;800.00;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;BARANGAY ROAD;CR;1,500.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;TARAYUNG;;;;
ALL LOTS;BARANGAY ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR LOTS;CR;1,000.00;;
ALL LOTS;PROVINCIAL ROAD;RR;500.00;;
ALL LOTS;INTERIOR LOTS;RR;250.00;;
ALL LOTS;INTERIOR LOTS;X;140.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;UNION;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;BARANGAY ROAD;RR;260.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;VILLA CONCEPCION;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;INTERIOR LOTS;RR;260.00;;
ALL LOTS;PROVINCIAL ROAD;A1;10.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;VILLA FLOR;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;INTERIOR LOTS;RR;260.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;VILLLA LUNA;;;;
ALL LOTS;BARANGAY ROAD;RR;350.00;;
ALL LOTS;INTERIOR LOTS;RR;260.00;;
ALL LOTS;PROVINCIAL ROAD;A1;15.00;;
ALL LOTS;PROVINCIAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;AGUINALDO;;;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;13.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;ANONANG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;13.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CALIMATUROD;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;140.00;;
ALL LOTS;INTERIOR LOTS;RR;75.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CAUAYAN;;;;
BARANGAY:;CAMARAO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;13.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;CAPIRPIRWAN;;;;
ALL LOTS;NATIONAL ROAD;CR;400.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;13.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;CAQUILINGAM;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;13.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;DALLLAO;;;;
ALL LOTS;BARANGAY ROAD;RR;90.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;13.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;GAYONG;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;MALAPAT;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;MAGSAYSAY;;;;
ALL LOTS;POBLACION;CR;550.00;;
ALL LOTS;POBLACION;RR;275.00;;
ALL LOTS;INTERIOR LOTS;RR;75.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;RIZALINA;;;;
