RDO:;RDO NO. 51 - PASAY CITY;;;;
H DOMINGO;VILLANUEVA-MARQUINA;RR;10,000.00;;
SANCHEZ;TAFT AVE-VILLANUEVA;CR;15,000.00;;
SANCHEZ;TAFT AVE-VILLANUEVA;RR;10,000.00;;
VILLANUEVA;SANCHEZ-DOMINGO;RR;10,000.00;;
VILLANUEVA;SANCHEZ-DOMINGO;CR;15,000.00;;
ALL OTHER STREETS;;RR;9,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
INTERIOR STREETS;;RR;8,000.00;;
BARANGAY:;BARANGAY 83 ZONE 10;;;;
F REIN EDSA;TAFT AVE-MARQUINA;CR;35,000.00;;
F REIN EDSA;TAFT AVE-MARQUINA;RR;30,000.00;;
MARIQUITA;DOMINGO-F REIN;CR;15,000.00;;
MARIQUITA;DOMINGO-F REIN;RR;10,000.00;;
H DOMINGO;TAFT AVE-MARQUINA;RR;10,000.00;;
PILAPIL;DOMINGO-F REIN;CR;18,000.00;;
PILAPIL;DOMINGO-F REIN;RR;10,000.00;;
PRES OSMENA TAFT AVE;DOMINGO-F REIN;CR;35,000.00;;
PRES OSMENA TAFT AVE;DOMINGO-F REIN;RR;30,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
ALL OTHER STREETS;;CR;20,000.00;;
ALL OTHER STREETS;;RR;15,000.00;;
OTHER INTERIOR STREETS;;RR;10,000.00;;
BARANGAY:;BARANGAY 84 ZONE 10;;;;
MARIQUITA;SANCHEZ-DOMINGO;CR;15,500.00;;
MARIQUITA;SANCHEZ-DOMINGO;RR;10,000.00;;
H DOMINGO;TAFT AVE-MARQUINA;RR;10,000.00;;
PRES OSMENA TAFT AVE;SANCHEZ-DOMINGO;CR;35,000.00;;
PRES OSMENA TAFT AVE;SANCHEZ-DOMINGO;RR;30,000.00;;
INTERIOR TAFT AVE;;RR;25,000.00;;
SANCHEZ;TAFT AVE-MARQUINA;CR;20,000.00;;
SANCHEZ;TAFT AVE-MARQUINA;RR;15,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 93 ZONE 11;;;;
DECENA;INOCENCIO-PROTACIO;RR;8,500.00;;
INOCENCIO;TAFT AVE-DECENA;RR;8,500.00;;
PRES OSMENA TAFT AVE;INOCENCIO-PROTACIO;CR;30,000.00;;
PRES OSMENA TAFT AVE;INOCENCIO-PROTACIO;RR;25,000.00;;
INTERIOR TAFT AVE;;RR;20,000.00;;
PROTACIO;TAFT AVE-DECENA;RR;8,500.00;;
PROTACIO;TAFT AVE-DECENA;CR;15,000.00;;
ALL OTHER STREETS;;RR;8,500.00;;
OTHER INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 94 ZONE 11;;;;
ARNAIZ AVE LIBERTAD;TAFT AVE-DECENA;RR;24,000.00;;
ARNAIZ AVE LIBERTAD;TAFT AVE-DECENA;CR;28,000.00;;
INTERIOR LIBERTAD;;RR;20,000.00;;
CELEDONIA;TAFT AVE-DECENA;RR;7,500.00;;
DECENA;LIBERTAD-INOCENCIO;RR;7,500.00;;
INOCENCIO;TAFT AVE-DECENA;RR;7,500.00;;
MENDOZA;TAFT AVE-DECENA;RR;7,500.00;;
PRES OSMENA TAFT AVE;LIBERTAD-INOCENCIO;CR;28,000.00;;
PRES OSMENA TAFT AVE;LIBERTAD-INOCENCIO;RR;24,000.00;;
INTERIOR TAFT AVE;;RR;20,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 95 ZONE 11;;;;
ARNAIZ AVE LIBERTAD;ZAMORA DECENA;CR;28,000.00;;
ARNAIZ AVE LIBERTAD;ZAMORA DECENA;RR;24,000.00;;
INTERIOR LIBERTAD;;RR;20,000.00;;
DECENA;LIBERTAD-INOCENCIO;RR;7,500.00;;
GUZMAN;DECENA-ZAMORA;RR;7,500.00;;
INOCENCIO;DECENA-ZAMORA;RR;7,500.00;;
LAUREL;DECENA-ZAMORA;RR;7,500.00;;
SANTIAGO;DECENA-ZAMORA;RR;7,500.00;;
ZAMORA;LIBERTAD-ZAMORA;RR;9,000.00;;
ZAMORA;LIBERTAD-ZAMORA;CR;12,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 96 ZONE 11;;;;
DECENA;INOCENCIO-PROTACIO;RR;7,500.00;;
INOCENCIO;ZAMORA-DECENA;RR;7,500.00;;
PROTACIO;ZAMORA-DECENA;RR;7,500.00;;
ZAMORA;INOCENCIO-PROTACIO;RR;7,500.00;;
ZAMORA;INOCENCIO-PROTACIO;CR;12,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 101 ZONE 11;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 102 ZONE 11;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 103 ZONE 11;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 105 ZONE 11;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 106 ZONE 11;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 107 ZONE 11;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 104 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 108 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 109 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 110 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 111 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 112 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 120 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 121 ZONE 14;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 122 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 123 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 124 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 125 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 126 ZONE 12;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 127 ZONE 13;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA     DE GALLINA;RR;2,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 128 ZONE 13;;;;
ARNAIZ AVE (LIBERTAD);DELA CRUZ MAKATI BDRY;CR;25,000.00;;
ARNAIZ AVE (LIBERTAD);DELA CRUZ MAKATI BDRY;RR;20,000.00;;
INTERIOR LIBERTAD;;RR;15,000.00;;
CONCHITA;;RR;5,000.00;;
CORAZON;;RR;5,000.00;;
ESGUERRA;DELA CRUZ-MAKATI BDRY;RR;6,000.00;;
LERMA;;RR;5,000.00;;
M DELA CRUZ;LIBERTAD-ESGUERRA;RR;6,000.00;;
MARYLUZ;;RR;5,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,500.00;;
OTHER INTERIOR STREETS;;RR;4,000.00;;
BARANGAY:;BARANGAY 129 ZONE 13;;;;
BARANGAY:;BARANGAY 130 ZONE 13;;;;
D JORGE;DELA CRUZ-MAKATI BDRY;RR;6,000.00;;
ESGUERRA;DELA CRUZ-MAKATI BDRY;RR;6,000.00;;
EUGENIO;;RR;6,000.00;;
LERMA;;RR;5,000.00;;
M DELA CRUZ;ESGUERRA-D GEORGE;RR;6,000.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;5,000.00;;
BARANGAY:;BARANGAY 131 ZONE 13;;;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;CR;6,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA     DE GALLINA;RR;2,500.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 132 ZONE 13;;;;
D JORGE;DELA CRUZ-MAKATI BDRY;RR;6,000.00;;
M DELA CRUZ;D GEORGE-MAGTIBAY;RR;6,000.00;;
VALERIO;;RR;6,000.00;;
16 DE AGOSTO;;RR;6,000.00;;
MAGTIBAY;;RR;6,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;5,000.00;;
BARANGAY:;BARANGAY 133 ZONE 13;;;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;CR;6,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA     DE GALLINA;RR;2,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA     DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 134 ZONE 13;;;;
M DELA CRUZ;MAGTIBAY-RODRIGUEZ;RR;6,000.00;;
MAGTIBAY;;RR;6,000.00;;
RODRIGUEZ;DELA CRUZ-MKTI BDRY;RR;6,000.00;;
SANTOS;;RR;6,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;5,000.00;;
BARANGAY:;BARANGAY 135 ZONE 13;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;6,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA     DE GALLINA;RR;2,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA     DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 97 ZONE 14;;;;
EDSA;TAFT AVE-ZAMORA;CR;35,000.00;;
EDSA;TAFT AVE-ZAMORA;RR;30,000.00;;
INTERIOR EDSA;;RR;25,000.00;;
PRES OSMENA TAFT AVE;PROTACIO-ZAMORA;CR;28,000.00;;
PRES OSMENA TAFT AVE;PROTACIO-ZAMORA;RR;24,000.00;;
INTERIOR TAFT AVE;;RR;20,000.00;;
PROTACIO;TAFT AVE-ZAMORA;RR;10,000.00;;
VERGEL;TAFT AVE-ZAMORA;RR;10,000.00;;
ZAMORA;PROTACIO-EDSA;RR;10,000.00;;
ZAMORA;PROTACIO-EDSA;CR;15,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 98 ZONE 14;;;;
EDSA;TAFT AVE-TRAMO LINE;CR;35,000.00;;
EDSA;TAFT AVE-TRAMO LINE;RR;30,000.00;;
INTERIOR EDSA;;RR;25,000.00;;
F MUNOZ TRAMO LINE;EDSA-VERGEL;CR;15,000.00;;
F MUNOZ TRAMO LINE;EDSA-VERGEL;RR;8,500.00;;
INTERIOR TRAMO;;RR;7,500.00;;
MAPAGKALINGA;TRAMO LINE-ZAMORA;RR;8,000.00;;
VERGEL;TRAMO LINE-ZAMORA;RR;8,000.00;;
ZAMORA;EDSA-VERGEL;RR;8,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;7,500.00;;
BARANGAY:;BARANGAY 99 ZONE 14;;;;
F MUNOZ TRAMO LINE;FRANCISCO-VERGEL;CR;12,000.00;;
F MUNOZ TRAMO LINE;FRANCISCO-VERGEL;RR;8,000.00;;
L FRANCISCO;TRAMO LINE-ZAMORA;RR;7,000.00;;
LOPEZ;FRANCISCO-VERGEL;RR;7,000.00;;
VERGEL;TRAMO LINE-ZAMORA;RR;8,000.00;;
ZAMORA;FRANCISCO-VERGEL;RR;8,000.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;6,500.00;;
BARANGAY:;BARANGAY 100 ZONE 14;;;;
F MUNOZ;PROTACIO-FRANCISCO;CR;12,000.00;;
F MUNOZ;PROTACIO-FRANCISCO;RR;8,500.00;;
L FRANCISCO;TRAMO LINE-ZAMORA;RR;7,000.00;;
LOPEZ;PROTACIO-FRANCISCO;RR;7,000.00;;
PROTACIO;TRAMO LINE-ZAMORA;RR;8,500.00;;
ZAMORA;PROTACIO-ZAMORA;RR;8,500.00;;
ZAMORA;PROTACIO-ZAMORA;CR;12,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 113 ZONE 14;;;;
DIMASALANG;PROTACIO-VERGEL;RR;6,000.00;;
F MUNOZ TRAMO LINE;PROTACIO-VERGEL;CR;10,000.00;;
F MUNOZ TRAMO LINE;PROTACIO-VERGEL;RR;8,000.00;;
PROTACIO;TRAMO LINE-DIMASALANG;RR;7,000.00;;
VERGEL;TRAMO LINE-DIMASALANG;RR;7,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
BARANGAY:;BARANGAY 114 ZONE 14;;;;
CABRERA;PROTACIO-M DELA CRUZ;RR;5,000.00;;
DIMASALANG;PROTACIO-M DELA CRUZ;RR;7,000.00;;
M DE JESUS;CABRERA-DIMASALANG;RR;6,000.00;;
J PROTACIO;CABRERA-DIMASALANG;RR;8,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 115 ZONE 14;;;;
CABRERA;;RR;5,000.00;;
DIMASALANG;M DE JESUS-GAMBAN;RR;5,000.00;;
GAMBAN;;RR;5,000.00;;
M DE JESUS;CABRERA-DIMASALANG;RR;5,000.00;;
RIVERA;;RR;5,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 116 ZONE 14;;;;
CABRERA;VERGEL-HEMBRADOR;RR;5,000.00;;
DIMASALANG;;RR;5,000.00;;
HEMBRADOR;;RR;5,000.00;;
VERGEL;DIMASALANG-CABRERA;RR;5,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 117 ZONE 14;;;;
CABRERA;GAMBAN-HEMBRADOR;RR;5,000.00;;
GAMBAN;;RR;5,000.00;;
HEMBRADOR;;RR;5,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 118 ZONE 14;;;;
EDSA;TRAMO LINE-GARCIA;CR;30,000.00;;
EDSA;TRAMO LINE-GARCIA;RR;25,000.00;;
INTERIOR EDSA;;RR;20,000.00;;
F MUNOZ TRAMO LINE;EDSA-VERGEL;CR;12,000.00;;
F MUNOZ TRAMO LINE;EDSA-VERGEL;RR;8,500.00;;
GARCIA;EDSA-VERGEL;RR;8,500.00;;
VERGEL;TRAMO LINE-GARCIA;RR;7,500.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,500.00;;
BARANGAY:;BARANGAY 119 ZONE 14;;;;
CABRERA;EDSA-VERGEL;RR;7,000.00;;
EDSA;CABRERA-GARCIA;CR;28,000.00;;
EDSA;CABRERA-GARCIA;RR;24,000.00;;
GARCIA;EDSA-VERGEL;RR;8,000.00;;
REYES;VERGEL-GARCIA;RR;7,000.00;;
VERGEL;CABRERA-GARCIA;RR;7,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
BARANGAY:;BARANGAY 136 ZONE 14;;;;
BENITEZ;;RR;6,000.00;;
CABRERA;PROTACIO-GAMBAN;RR;7,000.00;;
CAMIA;PROTACIO-GAMBAN;RR;6,000.00;;
GAMBAN;CABRERA-CAMIA;RR;6,000.00;;
M CLARA;;RR;6,000.00;;
MORELOS;;RR;6,000.00;;
PROTACIO;CABRERA-CAMIA;RR;7,000.00;;
RECTO;;RR;6,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 137 ZONE 15;;;;
CAMIA;PROTACIO-GAMBAN;RR;7,000.00;;
CHAMPACA;;RR;6,000.00;;
GAMBAN;CAMIA-MAKATI BDRY;RR;6,000.00;;
ILANG-ILANG;;RR;6,000.00;;
PROTACIO;CAMIA-MAKATI BDRY;RR;7,000.00;;
ROSAL;PROTACIO-GAMBAN;RR;6,000.00;;
SAMPAGUITA;;RR;6,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;8,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 138 ZONE 15;;;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA        DE GALLINA;RR;2,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA        DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 139 ZONE 15;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 140 ZONE 15;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 141 ZONE 15;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 142 ZONE 15;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 143 ZONE 15;;;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA      DE GALLINA;RR;2,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA      DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 145 ZONE 16;;;;
PRES OSMENA;EDSA-PARANAQUE BDRY;CR;35,000.00;;
PRES OSMENA;EDSA-PARANAQUE BDRY;RR;30,000.00;;
INTERIOR OSMENA;;RR;25,000.00;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;9,000.00;;
BARANGAY:;BARANGAY 146 ZONE 16;;;;
EDSA;TAFT AVE-REVILLA;CR;35,000.00;;
EDSA;TAFT AVE-REVILLA;RR;30,000.00;;
INTERIOR EDSA;;RR;25,000.00;;
PRES  OSMENA;;CR;35,000.00;;
PRES  OSMENA;;RR;30,000.00;;
INTERIOR OSMENA;;RR;25,000.00;;
REVILLA;EDSA-SAN MARIANO;RR;10,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 147 ZONE 16;;;;
AURORA;EDSA-LEGASPI;CR;25,000.00;;
AURORA;EDSA-LEGASPI;RR;20,000.00;;
INTERIOR AURORA;;RR;15,000.00;;
BUENAVENTURA;AURORA-C CRUZ;RR;6,500.00;;
C CRUZ;EDSA-LEGASPI;RR;6,500.00;;
EDSA;AURORA-REVILLA;CR;25,000.00;;
EDSA;AURORA-REVILLA;RR;20,000.00;;
INTERIOR EDSA;;RR;15,000.00;;
LEGASPI;AURORA-REVILLA;RR;6,500.00;;
REVILLA;EDSA-LEGASPI;RR;8,000.00;;
ALL OTHER STREETS;;RR;7,000.00;;
ALL OTHER STREETS;;CR;12,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 148 ZONE 16;;;;
APOLLO 10;;RR;4,000.00;;
APOLLO 11;;RR;4,000.00;;
APOLLO 12;;RR;4,000.00;;
AURORA;LEGASPI-CREEK;CR;24,000.00;;
AURORA;LEGASPI-CREEK;RR;18,000.00;;
LEGASPI;AURORA-REVILLA;RR;5,000.00;;
S MARIANO;;RR;5,000.00;;
SAN ROQUE;;RR;5,000.00;;
ALL OTHER STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY  149 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 150 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 151 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 152 ZONE 16;;;;
ALL OTHER STREETS;;RR;10,000.00;;
ALL OTHER STREETS;;CR;25,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA      DE GALLINA;RR;3,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA      DE GALLINA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 153 ZONE 16;;;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;15,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 154 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;;;
BARANGAY:;BARANGAY 155 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;;;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;3,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
