RDO:;RDO NO. 51 - PASAY CITY;;;(Formerly RDO No. 33 - PASAY CITY);
ILANG ILANG;;RR;1,500.00;;
PROTACIO;CAMIA-MAKATI BDRY;RR;1,500.00;;
ROSAL;PROTACIO-GAMBAN;RR;1,500.00;;
SAMPAGUITA;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 138 ZONE 15;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 139 ZONE 15;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 140 ZONE 15;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 141 ZONE 15;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 142 ZONE 15;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 143 ZONE 15;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 144 ZONE 15;;;;
BONIFACIO;;RR;1,200.00;;
E RODRIGUEZ SR EXT;;RR;1,350.00;;
EDSA;CREEK-MAKATI BDRY;CR;4,000.00;;
EDSA;CREEK-MAKATI BDRY;RR;2,500.00;;
M REYES;;RR;1,200.00;;
PAPA;;RR;1,200.00;;
WOOD;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 145 ZONE 16;;;;
PRES OSMENA;EDSA-PARANAQUE BDRY;CR;3,750.00;;
PRES OSMENA;EDSA-PARANAQUE BDRY;RR;2,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 146 ZONE 16;;;;
EDSA;TAFT AVE-REVILLA;CR;4,000.00;;
EDSA;TAFT AVE-REVILLA;RR;2,500.00;;
PRES S OSMENA;;CR;3,750.00;;
PRES S OSMENA;;RR;2,500.00;;
REVILLA;EDSA-SAN MARIANO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 147 ZONE 16;;;;
AURORA;EDSA-LEGASPI;CR;3,500.00;;
AURORA;EDSA-LEGASPI;RR;3,000.00;;
BUENAVENTURA;AURORA-C CRUZ;RR;1,200.00;;
C CRUZ;EDSA-LEGASPI;RR;1,200.00;;
EDSA;AURORA-REVILLA;CR;4,000.00;;
EDSA;AURORA-REVILLA;RR;2,500.00;;
LEGASPI;AURORA-REVILLA;RR;1,200.00;;
REVILLA;EDSA-LEGASPI;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 148 ZONE 16;;;;
APOLLO 10;;RR;1,200.00;;
APOLLO 11;;RR;1,200.00;;
APOLLO 12;;RR;1,200.00;;
AURORA;LEGASPI-CREEK;CR;3,500.00;;
AURORA;LEGASPI-CREEK;RR;3,000.00;;
LEGASPI;AURORA-REVILLA;RR;1,200.00;;
S MARIANO;;RR;1,200.00;;
SAN ROQUE;;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 149 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 150 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 151 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 152 ZONE 16;;;;
APD;;;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 153 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 154 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 155 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 156 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 157 ZONE 16;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 158 ZONE 17;;;;
APELO CRUZ;CREEK-RODRIGUEZ;RR;1,500.00;;
E RODRIGUEZ EXT;EDSA-APELO CRUZ;RR;1,500.00;;
EDSA;CREEK-RODRIGUEZ;CR;4,000.00;;
EDSA;CREEK-RODRIGUEZ;RR;2,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 159 ZONE 17;;;;
C SANTOS;EDSA-PATINIO;RR;1,200.00;;
E RODRIGUEZ;EDSA-PATINIO;RR;1,500.00;;
EDSA;RODRIGUEZ-C JOSE;CR;4,000.00;;
EDSA;RODRIGUEZ-C JOSE;RR;2,500.00;;
ESTANISLAO;;RR;1,200.00;;
FRANCISCO;;RR;1,200.00;;
PATINIO;RODRIGUEZ-C JOSE;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 160 ZONE 17;;;;
C JOSE;PATINIO-F CRUZ;RR;1,200.00;;
E RODRIGUEZ;PATINIO-F CRUZ;RR;1,500.00;;
F CRUZ;RODRIGUEZ-C JOSE;RR;1,200.00;;
PATINIO;RODRIGUEZ-C JOSE;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 161 ZONE 17;;;;
APELO CRUZ;RODRIGUEZ-C JOSE;RR;1,500.00;;
C JOSE;APELO CRUZ-PATINIO;RR;1,200.00;;
CORNEJO;;RR;1,200.00;;
DIONISIO;;RR;1,200.00;;
DOMINGUEZ;APELO CRUZ-F CRUZ;RR;1,200.00;;
E RODRIGUEZ;F CRUZ-APELO CRUZ;RR;1,500.00;;
F CRUZ;RODRIGUEZ-C JOSE;RR;1,200.00;;
TOLENTINO;;RR;1,200.00;;
ALL OTHER STREETS;;CR;2,250.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 166 ZONE 17;;;;
APELO CRUZ;C JOSE-P SANTOS;RR;1,500.00;;
C JOSE;EDSA-APELO CRUZ;RR;1,200.00;;
EDSA;C JOSE-P SANTOS;CR;4,000.00;;
EDSA;C JOSE-P SANTOS;RR;2,500.00;;
F CRUZ;C JOSE-P SANTOS;RR;1,200.00;;
P SANTOS;EDSA-APELO CRUZ;RR;1,500.00;;
V CRUZ;C JOSE-P SANTOS;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 169 ZONE 17;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 170 ZONE 17;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 171 ZONE 17;;;;
DE GUZMAN;P SANTOS-MAKATI BDRY;RR;1,200.00;;
F CRUZ;P SANTOS-MAKATI BDRY;RR;1,200.00;;
P SANTOS;DE GUZMAN-V VIZCARRA;RR;1,500.00;;
V VIZCARRA;P SANTOS-MAKATI BDRY;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 172 ZONE 17;;;;
I SANTOS;;RR;1,200.00;;
M GERONIMO;P SANTOS-MAKATI BDRY;RR;1,200.00;;
P SANTOS;V VIZCARRA-GERONIMO;RR;1,500.00;;
V VIZCARRA;P SANTOS-MAKATI BDRY;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 173 ZONE 17;;;;
M GERONIMO;P SANTOS-MAKATI BDRY;RR;1,200.00;;
M TENGCO;P SANTOS-MAKATI BDRY;RR;1,200.00;;
P SANTOS;M GERONIMO-M TENGCO;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 174 ZONE 17;;;;
APELO CRUZ EXT;P SANTOS-MAKATI BDRY;RR;1,200.00;;
M TENGCO;P SANTOS-MAKATI BDRY;RR;1,200.00;;
P SANTOS;M TENGCO-A CRUZ EXT;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 162 ZONE 18;;;;
APELO CRUZ;CREEK-C JOSE;RR;1,500.00;;
C JOSE;APELO CRUZ-E CORNEJO;RR;1,200.00;;
E CORNEJO;CREEK-C JOSE;RR;1,200.00;;
RODRIGUEZ;APELO CRUZ-E CORNEJO;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 163 ZONE 18;;;;
C JOSE;E CORNEJO-VITALES;RR;1,200.00;;
DE GUZMAN;;RR;1,200.00;;
E CORNEJO;CREEK-C JOSE;RR;1,200.00;;
RODRIGUEZ;E CORNEJO-DE GUZMAN;RR;1,500.00;;
VITALES;C JOSE-RODRIGUEZ;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 164 ZONE 18;;;;
C JOSE;VITALES-DE GUZMAN;RR;1,200.00;;
DE GUZMAN;RODRIGUEZ-C JOSE;RR;1,350.00;;
RODRIGUEZ;VITALES-DE GUZMAN;RR;1,500.00;;
VITALES;RODRIGUEZ-C JOSE;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 167 ZONE 18;;;;
APELO CRUZ;C JOSE-P SANTOS;RR;1,500.00;;
C JOSE;APELO CRUZ-MAYON;RR;1,200.00;;
MAYOR;C JOSE-P SANTOS;RR;1,200.00;;
P SANTOS;MAYON-APELO CRUZ EXT;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 168 ZONE 18;;;;
C JOSE;;RR;1,200.00;;
DE GUZMAN;;RR;1,200.00;;
MAYON;C JOSE-P SANTOS;CR;2,250.00;;
MAYON;C JOSE-P SANTOS;RR;1,200.00;;
P SANTOS;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 175 ZONE 18;;;;
APELO CRUZ EXT;;RR;1,200.00;;
E FLORES;;RR;1,200.00;;
P SANTOS;;RR;1,500.00;;
R ESCANO;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY 176 ZONE 18;;;;
APELO CRUZ EXT;;RR;1,200.00;;
E FLORES;;RR;1,200.00;;
ESTEBAN;;RR;1,200.00;;
LIGAYA;;RR;1,200.00;;
MARCELA;;RR;1,200.00;;
R ESCANO;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 177 ZONE 18;;;;
DE GUZMAN;;RR;1,200.00;;
ESTEBAN;;RR;1,200.00;;
MARCELA;;RR;1,200.00;;
MARCELO;;RR;1,200.00;;
MAYOR;;RR;1,200.00;;
P SANTOS;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY 165 ZONE 20;;;;
C JOSE;DE GUZMAN-CREEK;RR;1,200.00;;
DE GUZMAN;;RR;1,350.00;;
E RODRIGUEZ EXT;;RR;1,500.00;;
RODRIGUEZ;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,000.00;;
