RDO:;NO. 16 CABARROGUIS;;;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;SAN SALVADOR;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A4;7.00;;
ALL LOTS;INNER LOT;A6;9.00;;
ALL LOTS;INNER LOT;A7;4.00;;
ALL LOTS;INNER LOT;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;STO NINO;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A3;5.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A6;5.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;STO TOMAS;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A4;7.00;;
ALL LOTS;INNER LOT;A6;9.00;;
ALL LOTS;INNER LOT;A7;4.00;;
ALL LOTS;INNER LOT;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;VILLA AGULLANA;;;;
ALL LOTS;;A3;5.00;;
ALL LOTS;;A4;7.00;;
ALL LOTS;;A6;4.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;5.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;VILLA GRACIA;;;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;7.00;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;4.00;;
ALL LOTS;;A10;5.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;VILLA IMELDA;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A4;7.00;;
ALL LOTS;INNER LOT;A6;9.00;;
ALL LOTS;INNER LOT;A7;4.00;;
ALL LOTS;INNER LOT;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;VILLA NORTE;;;;
ALL LOTS;OUTER LOTS;RR;45.00;;
ALL LOTS;INNER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;A4;5.00;;
ALL LOTS;INNER LOTS;A6;7.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;VILLA SUR;;;;
ALL LOTS;OUTER LOT;RR;45.00;;
ALL LOTS;INNER LOT;RR;40.00;;
ALL LOTS;INNER LOT;A2;2.00;;
ALL LOTS;INNER LOT;A4;7.00;;
ALL LOTS;INNER LOT;A6;9.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;VILLA YLANAN;;;;
ALL LOTS;OUTER LOT;RR;20.00;;
ALL LOTS;INNER LOT;RR;15.00;;
ALL LOTS;INNER LOT;A1;7.00;;
ALL LOTS;INNER LOT;A4;5.00;;
ALL LOTS;INNER LOT;A6;7.00;;
ALL LOTS;INNER LOT;A7;4.00;;
ALL LOTS;INNER LOT;A8;4.00;;
CITY/MUNICIPALITY:;MADELLA;;;;
BARANGAY:;YSMAEL;;;;
ALL LOTS;;A3;5.00;;
ALL LOTS;;A4;4.00;;
ALL LOTS;;A6;4.00;;
ALL LOTS;;A7;2.00;;
ALL LOTS;;A8;5.00;;
CITY/MUNICIPALITY:;NAGTIPUNAN;;;;
BARANGAY:;DIPATAN;;;;
ROAD 1 - 6;OUTER LOT;RR;30.00;;
ROAD 1 - 6;INNER LOT;RR;25.00;;
ROAD 7 - 10;OUTER LOT;RR;35.00;;
ROAD 7 - 10;INNER LOT;RR;30.00;;
CITY/MUNICIPALITY:;NAGTIPUNAN;;;;
BARANGAY:;NALUNGTUTAN;;;;
ROAD 1 & 4;OUTER LOT;RR;35.00;;
ROAD 1 & 4;INNER LOT;RR;30.00;;
ROAD 2 & 3;OUTER LOT;RR;30.00;;
ROAD 2 & 3;INNER LOT;RR;25.00;;
ALL OTHER LOTS;;A3;2.00;;
ALL OTHER LOTS;;A4;3.00;;
CITY/MUNICIPALITY:;NAGTIPUNAN;;;;
BARANGAY:;PONGO;;;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;4.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;CARDENAS;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;DIBUL;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
CITY/MUNICIPALITY:;SAGUDAY;A11;1.00;;
BARANGAY:;GAMIS;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;LA PAZ;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;MAGSAYSAY (POBLACION);;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;RIZAL (POBLACION);;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;SALVACION;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;SANTO TOMAS;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;SAGUDAY;;;;
BARANGAY:;TRES REYES;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
