RDO:;RDO NO. 40 - CUBAO QUEZON CITY;;;(FORMERLY RDO No. 30A-SOUTH Q.C.);
BROADCAST CITY;CAPITOL;RR;3,500.00;;
CAPITOL BLISS;CAPITOL;RR;4,000.00;;
CAP HILLS GOLF CLUB;CAPITOL;RR;4,500.00;;
CAPITOL HOMES;CAPITOL;RR;3,000.00;;
CAPITOL PARK HOMES;CAPITOL;RR;3,000.00;;
CELEBRITY SPORTS PLA;CAPITOL;RR;3,000.00;;
CIUDAD REGINA (MERID;CAPITOL;RR;3,500.00;;
COMMONWEALTH AVE.;CAPITOL;RR;2,500.00;;
COUNTRY VILLA SUBD.;CAPITOL;RR;4,500.00;;
DOLOR ESTATE;CAPITOL;RR;2,000.00;;
DON ANTONIO HEIGHTS;CAPITOL;RR;2,500.00;;
FILINVEST HEIGHTS I;CAPITOL;RR;2,500.00;;
FERIA CPD;CAPITOL;RR;2,500.00;;
FRANCISCO HOMES;CAPITOL;RR;2,500.00;;
HOBART REALTY HOMES;CAPITOL;RR;3,000.00;;
M. MARCOS AVE.;CAPITOL;RR;6,000.00;;
M. MARCOS AVE.;CAPITOL;CR;7,000.00;;
NORTHVIEW  1 (FILINVES;CAPITOL;RR;2,000.00;;
NORTHVIEW II (FILINVE;CAPITOL;RR;2,000.00;;
PENTAGON SUBD.;CAPITOL;RR;2,000.00;;
SABATER SUBD.;CAPITOL;RR;2,000.00;;
STA. MARIA;CAPITOL;RR;2,000.00;;
TANDANG SORA;CAPITOL;RR;3,500.00;;
TANDANG SORA;CAPITOL;CR;4,500.00;;
TIVOLI GREENS;CAPITOL;RR;3,500.00;;
UP MODEL HOMES;CAPITOL;RR;1,500.00;;
VISTA REAL SUBD.;CAPITOL;RR;3,500.00;;
ALL OTHER STREETS;CAPITOL;RR;2,000.00;;
TOWNHOUSE (CCT);CAPITOL;RC;10,000.00;;
CONDOMINIUM;CAPITOL;RC;15,000.00;;
CONDOMINIUM;CAPITOL;CC;20,000.00;;
CONDOMINIUM;CAPITOL;;;;
BARANGAY:;PALIGSAHAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
A. ROCES;GEN. ROXAS;RR;5,500.00;;
A. ROCES;GEN. ROXAS;CR;6,500.00;;
MO. IGNACIA (CEBU AV;GEN. ROXAS;RR;4,000.00;;
MO. IGNACIA (CEBU AV;GEN. ROXAS;CR;5,000.00;;
SCT. CASTOR;GEN. ROXAS;RR;4,000.00;;
SCT. CHUATOCO;GEN. ROXAS;RR;4,000.00;;
SCT. CHUATOCO;GEN. ROXAS;CR;6,000.00;;
SCT. DELGADO;GEN. ROXAS;RR;4,000.00;;
SCT. DE GUIA;GEN. ROXAS;RR;4,000.00;;
SCT. LUZANO;GEN. ROXAS;RR;4,000.00;;
SCT. MAGBANUA;GEN. ROXAS;RR;4,000.00;;
SCT. REYES;GEN. ROXAS;RR;4,000.00;;
QUEZON AVENUE;GEN. ROXAS;RR;10,000.00;;
QUEZON AVENUE;GEN. ROXAS;CR;13,000.00;;
PANAY AVENUE;GEN. ROXAS;RR;4,000.00;;
SOUTH A-AA-B-C;GEN. ROXAS;RR;4,000.00;;
SOUTH 18TH-22 (G. GARC;GEN. ROXAS;RR;4,000.00;;
TIMOG (SOUTH);GEN. ROXAS;RR;10,000.00;;
TIMOG (SOUTH);GEN. ROXAS;CR;12,000.00;;
ALL OTHER STREETS;GEN. ROXAS;RR;4,000.00;;
TOWNHOUSE (CCT);GEN. ROXAS;RC;10,000.00;;
CONDOMINIUM;GEN. ROXAS;RC;15,000.00;;
CONDOMINIUM;GEN. ROXAS;CC;20,000.00;;
CONDOMINIUM;GEN. ROXAS;;;;
BARANGAY:;PANSOL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AYALA HEIGHTS;LOYOLA/DILIMAN;RR;6,000.00;;
BALARA;DILIMAN;GL;0.00;GOVERNMENT LAND;
KATIPUNAN;;RR;6,000.00;;
LA VISTA;;RR;6,000.00;;
LOYOLA GRAND VILLAS;;RR;5,000.00;;
MWSS;;GL;0.00;GOVERNMENT LAND;
PANSOL ST;;RR;5,000.00;;
PANSOL ST;;APD;0.00;APD -  NO.  18  PANSOL DILIMAN              N   -  NE - VENTURA ST.                         W   -  KATIPUNAN AVE.                                S  -  PANSOL;
UP CAMPUS;;GL;0.00;GOVERNMENT LAND;
ALL OTHER STREETS;;RR;4,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
BARANGAY:;PINAGKAISAHAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
EDSA;CUBAO;CR;15,000.00;;
ERMIN GARCIA;CUBAO;RR;5,000.00;;
E. RODRIGUEZ SR. AVE.;CUBAO;CR;11,000.00;;
CHICAGO;CUBAO;RR;4,000.00;;
DENVER;CUBAO;RR;4,000.00;;
DETROIT;CUBAO;RR;4,000.00;;
F. MANALO;CUBAO;RR;4,000.00;;
J. JIMENEZ;CUBAO;RR;4,000.00;;
MARYLAND;CUBAO;RR;4,000.00;;
NEW ORLEANS;CUBAO;RR;4,000.00;;
NEW YORK;CUBAO;RR;7,000.00;;
NEW YORK;CUBAO;CR;11,000.00;;
SGT. CATOLOS;CUBAO;RR;4,000.00;;
ALL OTHER STREETS;CUBAO;RR;4,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:;PINYAHAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
KALAYAAN AVE.;CENTRAL;RR;7,000.00;;
KALAYAAN AVE.;CENTRAL;CR;8,000.00;;
KAMIAS;CENTRAL;RR;5,000.00;;
KAMIAS;CENTRAL;CR;8,000.00;;
MABAIT;CENTRAL;RR;4,500.00;;
MABILIS;CENTRAL;RR;4,500.00;;
MAGALANG;CENTRAL;RR;4,500.00;;
MAGINOO;CENTRAL;RR;4,500.00;;
MAKISIG;CENTRAL;RR;4,500.00;;
MALAKAS;CENTRAL;RR;4,500.00;;
MALIKSI;CENTRAL;RR;4,500.00;;
MAPAGBIGAY;CENTRAL;RR;4,500.00;;
MAPAGMAHAL;CENTRAL;RR;4,500.00;;
MAPANGAKIT;CENTRAL;RR;4,500.00;;
MASIGASIG;CENTRAL;RR;4,500.00;;
MATAPAT;CENTRAL;RR;4,500.00;;
MATATAG;CENTRAL;RR;4,500.00;;
MATALINO;CENTRAL;RR;4,500.00;;
MATAPANG;CENTRAL;RR;4,500.00;;
MATINO;CENTRAL;RR;4,500.00;;
MATIISIN;CENTRAL;RR;4,500.00;;
MATIMPIIN;CENTRAL;RR;4,500.00;;
MATIPUNO;CENTRAL;RR;4,500.00;;
MAUNAWAIN;CENTRAL;RR;4,500.00;;
V. LUNA AVE.;CENTRAL;RR;5,000.00;;
V. LUNA AVE.;CENTRAL;CR;6,000.00;;
ALL OTHER STREETS;CENTRAL;RR;4,500.00;;
TOWNHOUSE (CCT);CENTRAL;RC;10,000.00;;
CONDOMINIUM;CENTRAL;RC;15,000.00;;
CONDOMINIUM;CENTRAL;CC;20,000.00;;
CONDOMINIUM;CENTRAL;;;;
BARANGAY:;QUIRINO  2-A;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ANONAS;QUIRINO 2;RR;5,000.00;;
ANONAS;QUIRINO 2;CR;6,000.00;;
CHICO;QUIRINO 2;RR;4,000.00;;
LANZONES;QUIRINO 2;RR;4,000.00;;
MARANG;QUIRINO 2;RR;4,000.00;;
NARANGHITA;QUIRINO 2;RR;4,000.00;;
PAJO;QUIRINO 2;RR;4,000.00;;
RIMAS;QUIRINO 2;RR;4,000.00;;
ALL OTHER STREETS;QUIRINO 2;RR;4,000.00;;
TOWNHOUSE (CCT);QUIRINO 2;RC;10,000.00;;
CONDOMINIUM;QUIRINO 2;RC;15,000.00;;
CONDOMINIUM;QUIRINO 2;CC;20,000.00;;
BARANGAY:;QUIRINO  2-B;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ANONAS;QUIRINO 2;RR;5,000.00;;
ANONAS;QUIRINO 2;CR;6,000.00;;
BIGNAY;QUIRINO 2;RR;4,000.00;;
CHICO;QUIRINO 2;RR;4,000.00;;
DURIAN;QUIRINO 2;RR;4,000.00;;
GUYABANO;QUIRINO 2;RR;4,000.00;;
LANGKA;QUIRINO 2;RR;4,000.00;;
LANZONES;QUIRINO 2;RR;4,000.00;;
NARANGHITA;QUIRINO 2;RR;4,000.00;;
PAJO;QUIRINO 2;RR;4,000.00;;
ALL OTHER STREETS;QUIRINO 2;RR;4,000.00;;
TOWNHOUSE (CCT);QUIRINO 2;RC;10,000.00;;
CONDOMINIUM;QUIRINO 2;RC;15,000.00;;
CONDOMINIUM;QUIRINO 2;CC;20,000.00;;
CONDOMINIUM;QUIRINO 2;;;;
CONDOMINIUM;QUIRINO 2;;;;
BARANGAY:;QUIRINO  2-C;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
BIGNAY;QUIRINO 2;RR;4,000.00;;
CHICO;QUIRINO 2;RR;4,000.00;;
DURIAN;QUIRINO 2;RR;4,000.00;;
GUYABANO;QUIRINO 2;RR;4,000.00;;
PAJO;QUIRINO 2;RR;4,000.00;;
SINEGUELAS;QUIRINO 2;RR;4,000.00;;
ALL OTHER STREETS;QUIRINO 2;RR;4,000.00;;
TOWNHOUSE (CCT);QUIRINO 2;RC;10,000.00;;
CONDOMINIUM;QUIRINO 2;RC;15,000.00;;
CONDOMINIUM;QUIRINO 2;CC;20,000.00;;
CONDOMINIUM;QUIRINO 2;;;;
BARANGAY:;QUIRINO 3-A;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BOULEVARD;ST. JOSEPH - QUIRINO;RR;14,000.00;;
AURORA BOULEVARD;ST. JOSEPH - QUIRINO;CR;15,000.00;;
ANONAS;ST. JOSEPH - QUIRINO;RR;5,000.00;;
ANONAS;ST. JOSEPH - QUIRINO;CR;6,000.00;;
DAPDAP;ST. JOSEPH - QUIRINO;RR;4,000.00;;
MOLAVE;ST. JOSEPH - QUIRINO;RR;4,000.00;;
MOLAVE;ST. JOSEPH - QUIRINO;CR;5,000.00;;
NARRA;ST. JOSEPH - QUIRINO;RR;4,000.00;;
TINDALO;ST. JOSEPH - QUIRINO;RR;4,000.00;;
ALL OTHER STREETS;ST. JOSEPH - QUIRINO;RR;4,000.00;;
TOWNHOUSE (CCT);ST. JOSEPH - QUIRINO;RC;10,000.00;;
CONDOMINIUM;ST. JOSEPH - QUIRINO;RC;15,000.00;;
CONDOMINIUM;ST. JOSEPH - QUIRINO;CC;20,000.00;;
CONDOMINIUM;ST. JOSEPH - QUIRINO;;;;
BARANGAY:;ROXAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
QUEZON AVENUE;ROXAS;RR;12,000.00;;
QUEZON AVENUE;ROXAS;CR;15,000.00;;
AZUCENA;ROXAS;RR;4,000.00;;
BEGONIA;ROXAS;RR;4,000.00;;
CADENA DE AMOR;ROXAS;RR;4,000.00;;
CHAMPACA;ROXAS;RR;4,000.00;;
DAHLIA;ROXAS;RR;4,000.00;;
EVERLASTING;ROXAS;RR;4,000.00;;
FLORES DE MAYO;ROXAS;RR;4,000.00;;
FLORFINA;ROXAS;RR;4,000.00;;
GARCIA;ROXAS;RR;4,000.00;;
GLADIOLA;ROXAS;RR;4,000.00;;
GUMAMELA;ROXAS;RR;4,000.00;;
HASMIN;ROXAS;RR;4,000.00;;
HASMIN;ROXAS;APD;0.00;"APD - NO. 13, 14, 15, 33              ROXAS DIST./GUMAMELA, JASMIN VIOLETA CATURAY EVERLASTING STS.              BARANGAY ROXAS ALONG ROCES AVE.; BOTOCAN TRANSMISSION              MORATO AVE. COR MARATHON STREET  N   -  SCT OJEDA ST, TUASON & ROCES AVE. WITH TUASON ST.  JOINNG SCT. OJEDA & ROCES AVE.   E   -   TOMAS MORATO AVE.              S   -   DILIMAN CREEK  W  -   SCT. REYES (FOREMERLY ROSAL) ";
HYACINTH;ROXAS;RR;4,000.00;;
ILANG-ILANG;ROXAS;RR;4,000.00;;
KATURAY;ROXAS;RR;4,000.00;;
LILAC;ROXAS;RR;4,000.00;;
MAGNOLIA;ROXAS;RR;4,000.00;;
NARCISSUS;ROXAS;RR;4,000.00;;
SCT. CHUATUCO;ROXAS;RR;4,000.00;;
SCT. CHUATUCO;ROXAS;CR;5,000.00;;
TULIP;ROXAS;RR;4,000.00;;
VIOLETA;ROXAS;RR;4,000.00;;
WALING-WALING;ROXAS;RR;4,000.00;;
ALL OTHER STREETS;ROXAS;RR;4,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;SACRED HEART;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
EDSA;T. MORATO - T. AVENUE;CR;15,000.00;;
KAMUNING ROAD;EDSA - BOTOCAN TRANSMISSI;CR;10,000.00;;
KAMUNING ROAD;KAMUNING;RR;6,000.00;;
SCT. DE GUIA;KAMUNING;RR;5,000.00;;
SCT. DELGADO;KAMUNING;RR;5,000.00;;
SCT. FUENTEBELLA;KAMUNING;RR;5,000.00;;
SCT. FUENTEBELLA;KAMUNING;APD;0.00;APD -   SCT FUENTEBELLA, KAMUNING              N   -  SCT. FERNANDEZ              E   -   TORILLO ST              S   -   SCT. FUENTEBELLA              W  -   TOMAS MORATO;
SCT. LAZCANO;KAMUNING;RR;5,000.00;;
SCT. LAZCANO;KAMUNING;APD;0.00;APD -   SCT FUENTEBELLA, KAMUNING              N   -  SCT. FERNANDEZ              E   -   TORILLO ST              S   -   SCT. FUENTEBELLA              W  -   TOMAS MORATO;
SCT. LIMBAGA;KAMUNING;RR;5,000.00;;
SCT. TORILLO;KAMUNING;RR;5,000.00;;
SCT. YBARDOLAZA;KAMUNING;RR;5,000.00;;
ROCES ST.;KAMUNING;RR;5,000.00;;
T. MORATO AVENUE;KAMUNING;RR;10,000.00;;
T. MORATO AVENUE;KAMUNING;CR;12,000.00;;
SOUTH AVENUE (TIMOG);KAMUNING;RR;10,000.00;;
SOUTH AVENUE (TIMOG);KAMUNING;CR;12,000.00;;
ALL OTHER STREETS;KAMUNING;RR;5,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL STREETS;GALAS;RR;4,000.00;;
TOWNHOUSE (CCT);GALAS;RC;10,000.00;;
CONDOMINIUM;GALAS;RC;15,000.00;;
CONDOMINIUM;GALAS;CC;20,000.00;;
BARANGAY:;SAN MARTIN DE PORES;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
EDSA;AURORA BLVD. - P. TUASON;CR;15,000.00;;
P. TUASON BLVD.;CUBAO;CR;6,000.00;;
AURORA BLVD;BENITEZ - EDSA;CR;12,000.00;;
ARAYAT;CUBAO;RR;4,000.00;;
BANAHAW;CUBAO;RR;4,000.00;;
BENITEZ;CUBAO;RR;4,000.00;;
BENITEZ;CUBAO;APD;0.00;APD -   NO. 1  SAN MARTIN DE PORES   N   -  ARAYAT ST.   E   -   ZAMBALES ST.    S   -   BANAHAW  NW -  C. BENITEZ;
IRID;CUBAO;RR;4,000.00;;
MALABITO;CUBAO;RR;4,000.00;;
MATABAO;CUBAO;RR;4,000.00;;
MATULID;CUBAO;RR;4,000.00;;
PINATUBO;CUBAO;RR;4,000.00;;
ZAMBALES;CUBAO;RR;4,000.00;;
ALL OTHER STREETS;CUBAO;RR;4,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD;QUIRINO;CR;15,000.00;;
AURORA BLVD;QUIRINO;X;9,000.00;;
BASA CPD;QUIRINO;RR;4,000.00;;
CRAME B. LIPUNAN;QUIRINO;RR;4,000.00;;
D. SILANG;QUIRINO;RR;4,000.00;;
B.SERRANO (SANTOLAN);QUIRINO;RR;4,000.00;;
EAST  CRAME;QUIRINO;RR;4,000.00;;
1ST TO 6TH CAMARILLA;QUIRINO;RR;5,000.00;;
EAST ROAD;QUIRINO;RR;4,000.00;;
15TH AVENUE;QUIRINO;RR;5,000.00;;
15TH AVENUE;QUIRINO;CR;8,000.00;;
18TH - 19TH AVENUE;QUIRINO;RR;5,000.00;;
MAIN AVENUE;QUIRINO;RR;4,000.00;;
MONTEREY;QUIRINO;RR;4,000.00;;
MIRASOL;QUIRINO;RR;4,000.00;;
KALANTIAW;QUIRINO;RR;4,000.00;;
P. TUASON BLVD;QUIRINO;RR;6,000.00;;
P. TUASON BLVD;QUIRINO;CR;7,000.00;;
DIOQUINO;QUIRINO;RR;4,000.00;;
P. ZAMORA;QUIRINO;RR;4,000.00;;
PRINCETON;QUIRINO;RR;4,000.00;;
DON JOSE;QUIRINO;RR;4,000.00;;
SANTOLAN ROAD;QUIRINO;RR;6,000.00;;
20TH AVENUE;QUIRINO;RR;6,000.00;;
20TH AVENUE;QUIRINO;CR;8,000.00;;
ALL OTHER STREETS;QUIRINO;RR;4,000.00;;
TOWNHOUSE (CCT);QUIRINO;RC;10,000.00;;
CONDOMINIUM;QUIRINO;RC;15,000.00;;
CONDOMINIUM;QUIRINO;CC;20,000.00;;
BARANGAY:;SAN VICENTE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL STREETS;DILIMAN;RR;1,500.00;;
TOWNHOUSE (CCT);DILIMAN;RC;10,000.00;;
CONDOMINIUM;DILIMAN;RC;15,000.00;;
CONDOMINIUM;DILIMAN;CC;20,000.00;;
CONDOMINIUM;DILIMAN;;;;
BARANGAY:;SANTOL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD;SANTOL;CR;15,000.00;;
G. ARANETA AVE.;SANTOL;CR;8,000.00;;
BAYANI;SANTOL;RR;4,000.00;;
BAYANI;SANTOL;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BATANES;SANTOL;RR;4,000.00;;
BELOY;SANTOL;RR;4,000.00;;
BELOY;SANTOL;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BRIXTON HILLS;SANTOL;RR;5,000.00;;
BUTIG;SANTOL;RR;4,000.00;;
CASIANA;SANTOL;RR;4,000.00;;
CONCEPCION;SANTOL;RR;4,000.00;;
CONCEPCION;SANTOL;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
DAGUMA;SANTOL;RR;4,000.00;;
IMUGAN;SANTOL;RR;4,000.00;;
LANDARGUN;SANTOL;RR;4,000.00;;
LIBERATION;SANTOL;RR;4,000.00;;
MADIAS-AS;SANTOL;RR;4,000.00;;
PALANSA;SANTOL;RR;4,000.00;;
PURAY;SANTOL;RR;4,000.00;;
ROXAS;SANTOL;RR;4,000.00;;
SAN CRISTOBAL;SANTOL;RR;4,000.00;;
SAN CRISTOBAL;SANTOL;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
SANTOL ROAD;SANTOL;RR;5,000.00;;
SILENCIO;SANTOL;RR;4,000.00;;
TAMAR;SANTOL;RR;4,000.00;;
ALL OTHER STREETS;SANTOL;RR;4,000.00;;
TOWNHOUSE (CCT);SANTOL;RC;10,000.00;;
CONDOMINIUM;SANTOL;RC;15,000.00;;
CONDOMINIUM;SANTOL;CC;20,000.00;;
CONDOMINIUM;SANTOL;;;;
BARANGAY:;SIKATUNA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ANONAS EXTN.;KAMIAS - ANONAS EXTN.;RR;5,000.00;;
KAMIAS ROAD;SIKATUNA - CENTRAL;RR;6,000.00;;
KAMIAS ROAD;SIKATUNA - CENTRAL;CR;7,000.00;;
MADASALIN;SIKATUNA - CENTRAL;RR;4,000.00;;
MAKADIOS;SIKATUNA - CENTRAL;RR;4,000.00;;
MAKADIOS;SIKATUNA - CENTRAL;APD;0.00;APD -   NO. 32  ALONG V. LUNA EXTN.                 N   -   V. LUNA EXTN.  EGS   - MALAYA ST.  W   -  MAGINHAWA ST. W  -MATAHIMIK ST.    APD -   NO. 32  MAKADIOS, SIKATUNA VILLAGE N   -   NORTHERN POLICE DIST. HEADQUARTERS E  -      FROM COR (NPD INTERSECTING MWSS AQUEDUCT (DAANG BAKAL) THROUGH PROPERTY LINECOMMERCIAL BANK  SE  -  BIGNAY ST. FROM COR. ALLEY ON APD'S   SOUTHWEST BOUNDARY  S  -   ALLEY FROM COR. BIGNAY ST. THROUGH LOWER MAKADIOS ST. EXTENDING TO MAGINHAWA ST.                  W   -  MAGUINHAWA ST.;
MAKAPANGYARIHAN;SIKATUNA - CENTRAL;RR;4,000.00;;
MAGINHAWA;SIKATUNA - CENTRAL;RR;4,000.00;;
MAHIYAIN;SIKATUNA - CENTRAL;RR;4,000.00;;
MALIHIM;SIKATUNA - CENTRAL;RR;4,000.00;;
MALINGAP;SIKATUNA - CENTRAL;RR;4,000.00;;
MALUMANAY;SIKATUNA - CENTRAL;RR;4,000.00;;
MAPAGKUMBABA;SIKATUNA - CENTRAL;RR;4,000.00;;
MAPAGSANGGUNI;SIKATUNA - CENTRAL;RR;4,000.00;;
MASAMBAHIN;SIKATUNA - CENTRAL;RR;4,000.00;;
MASUNURIN;SIKATUNA - CENTRAL;RR;4,000.00;;
MATAHIMIK;SIKATUNA - CENTRAL;RR;4,000.00;;
MATIPID;SIKATUNA - CENTRAL;RR;4,000.00;;
MATINO;SIKATUNA - CENTRAL;RR;4,000.00;;
MATIMPIIN;SIKATUNA - CENTRAL;RR;4,000.00;;
V. LUNA EXTN.;SIKATUNA - CENTRAL;RR;4,000.00;;
V. LUNA EXTN.;SIKATUNA - CENTRAL;CR;5,000.00;;
ALL OTHER STREETS;SIKATUNA - CENTRAL;RR;4,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;SILANGAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD.;CUBAO;CR;15,000.00;;
ALBANY;CUBAO;RR;5,000.00;;
COLUMBIA;CUBAO;RR;5,000.00;;
E.GARCIA;CUBAO;RR;5,000.00;;
LA SALLE;CUBAO;RR;5,000.00;;
MIAMI;CUBAO;RR;5,000.00;;
MINESOTA;CUBAO;RR;5,000.00;;
ILLINOIS;CUBAO;RR;5,000.00;;
15TH AVENUE;CUBAO;RR;5,000.00;;
NOTRE DAME;CUBAO;RR;5,000.00;;
PITTSBURGH;CUBAO;RR;5,000.00;;
CREEKLINE LOTS;CUBAO;RR;5,000.00;;
ALL OTHER STREETS;CUBAO;RR;5,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;10,000.00;;
CONDOMINIUM;CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;CC;20,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:;SOCORRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD;CUBAO COMMERCIAL CENTER;CR;35,000.00;;
EDSA;CUBAO;CR;35,000.00;;
CENTRAL AVENUE;CUBAO;CR;30,000.00;;
GEN. ARANETA;CUBAO;CR;35,000.00;;
GEN. AGUINALDO AVE.;AURORA BLVD-GEN MCARTHUR;CR;35,000.00;;
GEN. AGUINALDO AVE.;MC ARTHUR - P. TUASON;CR;30,000.00;;
GEN. MC ARTHUR;CUBAO;CR;30,000.00;;
GEN. MALVAR;CUBAO COMMERCIAL CENTER;CR;35,000.00;;
GEN. ROMULO;AURORA - MC ARTHUR;CR;35,000.00;;
GEN. SANTOS;CUBAO COMMERCIAL CENTER;CR;30,000.00;;
HARVARD;CUBAO;CR;6,000.00;;
5TH TO 14TH AVENUE;CUBAO;RR;8,000.00;;
5TH TO 7TH AVENUE;CUBAO;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
9TH TO 20TH AVENUE;CUBAO;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
GEN. ROXAS;G. ARANETA - G. ROMULO;CR;35,000.00;;
15TH AVENUE;TUASON - SANTOLAN;CR;12,000.00;;
15TH AVENUE;TUASON - SANTOLAN;RR;10,000.00;;
15TH AVENUE;AURORA BLVD - P. TUASON;CR;15,000.00;;
15TH AVENUE;AURORA BLVD - P. TUASON;RR;11,000.00;;
MAIN AVENUE;CUBAO;RR;10,000.00;;
P. TUASON;EDSA - 7TH AVENUE;CR;17,000.00;;
;7TH AVENUE - 5TH AVENUE;CR;20,000.00;;
SANTOLAN RD (B. SERRA;CAMP AGUINALDO;CR;8,000.00;;
SESSION ROAD;CUBAO;CR;30,000.00;;
STANFORD;CUBAO;RR;6,000.00;;
TIME SQUARE;CUBAO;CR;30,000.00;;
VELANTI DRIVE;CUBAO;RR;6,000.00;;
TOWNHOUSE (CCT);CUBAO;RC;15,000.00;;
CONDOMINIUM;CUBAO;RC;40,000.00;;
CONDOMINIUM;CUBAO;;;;
BARANGAY:  SOUTH TRIANGLE;;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
MO.IGNACIA (CEBU AV;QUADRANGLE;RR;5,000.00;;
;QUADRANGLE;CR;6,000.00;;
EDSA;QUADRANGLE;CR;13,000.00;;
EDSA;QUADRANGLE;APD;0.00;APD -   NO. 2 JUSMAG, SOUTH TRIANGLE COVERING     SCT. TORILLO AND SCT BAYORAN  N   -   SCT. BAYORAN     NE  -   BOHOL AVE.   S   -  SCT. BORROMEO     W  -  T. MORATO APD -   NO.  4  MOTHER IGNACIA COR. SCT. BAYORAN, KAMUNING   NW   -   MO. IGNACIA ST. EXTENDING TO THE COR. OF SCT. ALBANO   E  -   SCT. TUASON S   -  SCT. BORROMEO  APD -   NO.  53 SCT ALBANO  NE   -  BOHOL AVE.   NW  -   MO. IGNACIA    S   -  SCOUT ALBANO;
PANAY AVENUE;QUADRANGLE;RR;5,000.00;;
PANAY AVENUE;QUADRANGLE;CR;7,000.00;;
QUEZON AVE.;QUADRANGLE;CR;15,000.00;;
SAMAR AVE.;QUADRANGLE;RR;5,000.00;;
SAMPALOC AVE. (T. MO;QUADRANGLE;CR;12,000.00;;
SAMPALOC AVE. (T. MO;QUADRANGLE;RR;5,000.00;;
