RDO:;RDO NO. 16 CABARROGUIS, QUIRINO;;;;
ALL LOTS;INNER LOTS;A2;3.00;;
ALL LOTS;INNER LOTS;A4;8.30;;
ALL LOTS;INNER LOTS;A6;9.40;;
ALL LOTS;INNER LOTS;A7;7.00;;
ALL LOTS;INNER LOTS;A8;5.20;;
ALL LOTS;INNER LOTS;A11;4.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;BUENAVISTA;;;;
-;INTERIOR;RR;70.00;;
-;INTERIOR;A3;13.00;;
-;INTERIOR;A4;9.00;;
-;INTERIOR;A6;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;CABARUAN;;;;
ALL LOTS;;RR;45.00;;
ALL LOTS;INTERIOR;RR;45.00;;
ALL LOTS;INTERIOR;A2;4.00;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;CABUAAN;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INNER LOTS;RR;30.00;;
ALL LOTS;INNER LOTS;A2;4.00;;
ALL LOTS;INNER LOTS;A4;6.40;;
ALL LOTS;INNER LOTS;A6;9.00;;
ALL LOTS;INNER LOTS;A7;6.70;;
ALL LOTS;INNER LOTS;A8;6.70;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;COFCAVILLE;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;4.20;;
ALL LOTS;INTERIOR;A4;9.40;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;DIBUYON;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;40.00;;
ALL LOTS;INTERIOR;A2;3.50;;
ALL LOTS;INTERIOR;A4;9.40;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;DISIMONGAL;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;3.60;;
ALL LOTS;INTERIOR;A7;6.40;;
ALL LOTS;INTERIOR;A8;6.30;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;DIVISORIA NORTE;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.30;;
ALL LOTS;INTERIOR;A8;6.30;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;DIVISORIA SUR;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.30;;
ALL LOTS;INTERIOR;A8;6.30;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;DUMABATO NORTE;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;45.00;;
ALL LOTS;INTERIOR;A3;12.00;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;DUMABATO SUR;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;45.00;;
ALL LOTS;INTERIOR;A3;12.00;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;JOSE ANCHETA;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;4.00;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;9.00;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
ALL LOTS;INTERIOR;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;LUSOD;;;;
CEMETERY ST;NATIONAL RD-ALEJANDRO ST;CR;150.00;;
CEMETERY ST;ALEJANDRO ST-GONZALO ST;RR;120.00;;
CEMETERY ST;GONZALO ST-DIDUYON CREEK;RR;75.00;;
LUSOD ST;NATIONAL RD-SARANDI ST;CR;150.00;;
LUSOD ST;ALEJANDRO ST-GONZALO ST;RR;75.00;;
PRODUCERS ST;M. AGULLANA-CM MADARANG;RR;75.00;;
PRODUCERS ST;DIDUYON CREEK-CAGAYAN RIV;A4;13.00;;
PLANTERS ST;PRODUCERS ST-DIDUYON CRE;A6;14.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;MANGLAD;;;;
;;RR;35.00;;
;INTERIOR;RR;25.00;;
;INTERIOR;A2;3.50;;
;INTERIOR;A4;6.40;;
;INTERIOR;A6;8.40;;
;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;PEDLISAN;;;;
ALL LOTS;;RR;20.00;;
ALL LOTS;INTERIOR;RR;15.00;;
ALL LOTS;INTERIOR;A3;12.00;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;9.00;;
ALL LOTS;INTERIOR;A7;6.30;;
ALL LOTS;INTERIOR;A8;6.30;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;POBLACION NORTE;;;;
PASTURES ST;THIAN EXT - EMBARKADERO;X;120.00;;
MARTIN ST;THIAN EXT - ANCHETA ST;CR;150.00;;
MARTIN ST;M. AGULLANA - EMBARKADERO;CR;150.00;;
ANCHETA ST;EMBARKADERO-AGULLANA;RR;120.00;;
ANCHETA ST;M. AGULLANA - AGGUB ST;CR;150.00;;
ANCHETA ST;AGGUB ST-THIANA ST;CR;150.00;;
THIAN ST;NARRA ST - MAHOGANY;CR;150.00;;
MAHOGANY ST;NARRA ST - MANGGO ST;RR;120.00;;
RUBIA ST;MANGGO ST - IPIL-IPIL ST;RR;120.00;;
NARRA ST;RUBIA ST - MELINA ST;RR;120.00;;
MELINA ST;NARRA ST - NATIONAL ROAD;CR;120.00;;
RIZAL ST;NATIONAL ROAD-IPIL-IPIL;CR;120.00;;
RIZAL ST;LADIA ST - BALLAD ST;CR;120.00;;
RIZAL ST;BALLAD ST - QUIRINO;GL;0.00;;
MAGSAYSAY BLVD.;NATIONAL ROAD-RIZAL ST;CR;150.00;;
MAGSAYSAY BLVD.;LADIA ST - R.DIAZ ST;CR;150.00;;
MAGSAYSAY BLVD.;BALLAD ST - QUIRINO;GL;0.00;;
MAGSAYSAY BLVD.;RIZAL ST - AGGUB ST;GL;0.00;;
AGGUB ST;RIZAL ST - MAGSAYSAY BLVD;CR;150.00;;
M. AGULLANA ST;RIZAL ST - MAGSAYSAY BLVD;RR;120.00;;
MANGAOIL ST;NATIONAL RD - PASCUAL ST;CR;150.00;;
PASCUAL ST;NATIONAL RD - BARANGAY RD;CR;150.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;POBLACION SUR;;;;
NATIONAL ROAD;BARANGAY ROAD;RR;120.00;;
NATIONAL ROAD;ST.VINCENT SCH-BRGY ROAD;RR;120.00;;
NATIONAL ROAD;BARANGAY ROAD-RES. LOT;X;120.00;;
E.MADARANG ST;BAYAUA ST-NATIONAL RD;CR;150.00;;
E.MADARANG ST;BAYAUA ST-M.AGULLANA;CR;150.00;;
E.MADARANG ST;AGGUB ST-M.AGULLANA;CR;150.00;;
E.MADARANG ST;AGGUB-MAGSAYSAY;GL;0.00;;
M. AGULLANA ST;E.MADARANG-GEN. NAKAR;CR;150.00;;
M. AGULLANA ST;G. MADARANG - DIDUYON CRK;RR;120.00;;
G.MADARANG ST;P.GAFFUD - NATIONAL ROAD;CR;120.00;;
G.MADARANG ST;CM FERAS-E. MADARANG;RR;120.00;;
G.MADARANG ST;E. MADARANG-G.MADARANG;RR;120.00;;
G.MADARANG ST;M. PIMENTEL-E. MADARANG;RR;120.00;;
SARANDI ST;NATIONAL ROAD-P. GAFFUD;CR;150.00;;
SARANDI ST;P. GAFFUD-C.M. FERIL;RR;120.00;;
SARANDI ST;CM FERIL-E. MADARANG;RR;120.00;;
SARANDI ST;M. PIMENTEL-G.MADARANG;RR;120.00;;
PASCUAL ST;NATIONAL ROAD-RGY. ROAD;RR;75.00;;
M.PIMENTEL ST;E. MADARANG-G.MADARANG;CR;150.00;;
M.PIMENTEL ST;M. AGULLANA-G. MADARANG;RR;120.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;SAN BERNABE;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;3.50;;
ALL LOTS;INTERIOR;A4;9.40;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;SAN DIONISIO I;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;10.40;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;9.40;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
ALL LOTS;INTERIOR;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;SAN DIONISIO II;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A3;10.40;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;9.40;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;SAN MARTIN;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;6.40;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;10.40;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
ALL LOTS;INTERIOR;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;SAN PEDRO;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;6.40;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;10.40;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;SAN SALVADOR;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;3.50;;
ALL LOTS;INTERIOR;A4;10.40;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;STO NINO;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;3.50;;
ALL LOTS;INTERIOR;A3;6.40;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;6.40;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;STO TOMAS;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A2;3.50;;
ALL LOTS;INTERIOR;A4;10.40;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.70;;
ALL LOTS;INTERIOR;A8;6.70;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;VILLA AGULLANA;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;6.40;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A5;4.20;;
ALL LOTS;INTERIOR;A6;6.30;;
ALL LOTS;INTERIOR;A7;6.30;;
ALL LOTS;INTERIOR;A8;6.40;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;VILLA GRACIA;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;9.00;;
ALL LOTS;INTERIOR;A7;6.30;;
ALL LOTS;INTERIOR;A8;6.30;;
ALL LOTS;INTERIOR;A10;6.40;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;VILLA IMELDA;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;25.00;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
ALL LOTS;INTERIOR;A7;6.40;;
ALL LOTS;INTERIOR;A8;6.40;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;VILLA NORTE;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;65.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A6;9.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;VILLA SUR;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;INTERIOR;RR;65.00;;
ALL LOTS;INTERIOR;A2;4.30;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;13.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;VILLA YLANAN;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;24.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A4;6.40;;
ALL LOTS;INTERIOR;A6;9.00;;
ALL LOTS;INTERIOR;A7;6.30;;
ALL LOTS;INTERIOR;A8;6.30;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF MADELLA;;;;
BARANGAY:;YSMAEL;;;;
ALL LOTS;;RR;35.00;;
ALL LOTS;INTERIOR;RR;30.00;;
ALL LOTS;INTERIOR;A3;8.30;;
ALL LOTS;INTERIOR;A4;6.30;;
ALL LOTS;INTERIOR;A6;6.30;;
ALL LOTS;INTERIOR;A7;3.50;;
ALL LOTS;INTERIOR;A8;8.30;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF NAGTIPUNAN;;;;
BARANGAY:;DIPATAN;;;;
ROAD 1 - 6;;RR;120.00;;
ROAD 1 - 6;INTERIOR;RR;75.00;;
ROAD 7 - 10;;RR;120.00;;
ROAD 7 - 10;INTERIOR;RR;75.00;;
ROAD 7 - 10;INTERIOR;A3;2.00;;
ROAD 7 - 10;INTERIOR;A4;5.00;;
ROAD 7 - 10;INTERIOR;A7;5.00;;
ROAD 7 - 10;INTERIOR;A11;1.80;;
CITY/MUNICIPALITY:;MUNICIPALITY OF NAGTIPUNAN;;;;
BARANGAY:;NALUNGTUTAN;;;;
ROAD 1 & 4;;RR;75.00;;
ROAD 1 & 4;INTERIOR;RR;35.00;;
ROAD 2 & 3;;RR;75.00;;
ROAD 2 & 3;INTERIOR;RR;35.00;;
ALL OTHER LOTS;;A3;3.70;;
ALL OTHER LOTS;;A4;5.60;;
ALL OTHER LOTS;;A7;6.60;;
ALL OTHER LOTS;;A11;2.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF NAGTIPUNAN;;;;
BARANGAY:;PONGO;;;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;ALONG THE ROAD;A3;3.70;;
ALL LOTS;ALONG THE ROAD;A4;7.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.20;;
ALL LOTS;INTERIOR;A3;3.30;;
ALL LOTS;INTERIOR;A4;9.00;;
ALL LOTS;INTERIOR;A6;9.00;;
ALL LOTS;INTERIOR;A7;4.70;;
ALL LOTS;INTERIOR;A11;1.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;CARDENAS;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;DIBUL;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;GAMIS;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;LA PAZ;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;MAGSAYSAY (POBLACION);;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
ALL LOTS;INTERIOR;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;RIZAL (POBLACION);;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;SALVACION;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
ALL LOTS;INTERIOR;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;SANTO TOMAS;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
CITY/MUNICIPALITY:;MUNICIPALITY OF  SAGUDAY;;;;
BARANGAY:;TRES REYES;;;;
ALL LOTS;;CR;155.00;;
ALL LOTS;;RR;80.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.30;;
ALL LOTS;INTERIOR;A5;7.00;;
ALL LOTS;INTERIOR;A6;10.70;;
ALL LOTS;INTERIOR;A7;4.10;;
ALL LOTS;INTERIOR;A8;4.10;;
ALL LOTS;INTERIOR;A9;4.10;;
ALL LOTS;INTERIOR;A10;4.10;;
ALL LOTS;INTERIOR;A11;3.20;;
